author,creator,titles,dates,publishers,languages,subjects,descriptions,earliest_year,latest_year,Frequency
A. A. Milne,"['Milne, A. A.(Alan Alexander),1882-1956.']", "['The Red House mystery']", [1977.0],['Bath Lythway Press'],['eng'],['English fiction.'],"['Originally published: London : Methuen, 1922']",1977.0,1977.0,1
A. Alvarez,"['Alvarez, A.(Alfred),1929-']", "['Hers']", [1977.0],['Harmondsworth Penguin'],['eng'],['English fiction.'],"['Originally published: London : Weidenfeld and Nicolson, 1974']",1977.0,1977.0,1
A. J. Cronin,"['Cronin, A. J.(Archibald Joseph),1896-1981.', 'Cronin, A. J.(Archibald Joseph),1896-1981.']", "['A song of sixpence', 'The Judas tree.']", "[1970.0, 1961.0]","['Glenfield F.A. Thorpe', 'London, ']","['eng', 'eng']","[nan, nan]","['Originally published (B64-15686), London: Heinemann, 1964', nan]",1961.0,1970.0,2
Aaron Copland,"['Copland, Aaron,1900-1990.']", "['Our new music. Leading composers in Europe and America.']", [1941.0],"['New York & London,']",['eng'],[nan],['[With a bibliography.]'],1941.0,1941.0,1
Abby Stein,"['Stein, Abby.']", "['Prologue to violence : child abuse, dissociation, and crime /']", [2007.0],"['Mahwah, N.J. ; London : Analytic Press,']",['eng'],['Crime.'],['Includes bibliographical references (p. 131-142) and index.'],2007.0,2007.0,1
Adolphus Egerton Ryerson,"['Ryerson, Adolphus Egerton.']", "['The loyalists of America and their times: from 1620 to 1816.']", [1880.0],"['Toronto, ']",['eng'],[nan],[nan],1880.0,1880.0,1
Adrian Hastings,"['Hastings, Adrian.']", "['La construcción de las nacionalidades : etnicidad, religión y nacionalismo /']", [2000.0],"['Madrid ; Cambridge : Cambridge University Press,']",['spa'],['Nationalism'],[nan],2000.0,2000.0,1
Adrienne Cecile Rich,"['Rich, Adrienne Cecile.']", "['The diamond cutters, and other poems.']", [1955.0],"['New York, ']",['eng'],[nan],[nan],1955.0,1955.0,1
Agatha Christie,"['Christie, Agatha,1890-1976.', 'Christie, Agatha,1890-1976.', 'Christie, Agatha,1890-1976.', 'Christie, Agatha,1890-1976.', 'Christie, Agatha,1890-1976.', 'Christie, Agatha,1890-1976.', 'Christie, Agatha,1890-1976.', 'Christie, Agatha,1890-1976.', 'Christie, Agatha,1890-1976.', 'Christie, Agatha,1890-1976.', 'Christie, Agatha,1890-1976.', 'Christie, Agatha,1890-1976.', 'Christie, Agatha,1890-1976.', 'Christie, Agatha,1890-1976.', 'Christie, Agatha,1890-1976.', 'Christie, Agatha,1890-1976.', 'Christie, Agatha,1890-1976.']", '[\'Sad cypress /\', "Curtain Poirot\'s last case", \'Murder on the Orient Express\', \'The mystery of the blue train /\', \'Five little pigs /\', \'Destination unknown\', \'The mystery of the blue train /\', \'The mysterious Mr Quin /\', "Why didn\'t they ask Evans?", \'Lord Edgware dies\', \'The abc murders.\', \'After the funeral /\', \'And then there were none\', \'Sad cypress /\', \'Towards zero\', \'4:50 from Paddington\', \'Lord Edgware dies /\']', "[1993.0, 1977.0, 1974.0, 1961.0, 1974.0, 1975.0, 1956.0, 1961.0, 1968.0, 1970.0, 1971.0, 1969.0, 1962.0, 1968.0, 1951.0, 1974.0, 1966.0]","['London : HarperCollins', '[London] Fontana', 'London Fontana', "London : CollinsChildren'sBooks,", 'London : Harper,', '[London] Fontana', '[London] : Fontana,', 'London : HarperCollins,', 'Pan', 'Glenfield F.A. Thorpe', 'HarperCollins,', 'London :  Collins, ', 'Leicester Ulverscroft', 'London :  Collins, ', '[London] : Fontana,', 'London Pan Books', 'London : HarperCollins,']","['eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng']","[nan, 'English fiction.', 'English fiction.', nan, 'Poisoning', 'English fiction.', nan, nan, nan, nan, nan, nan, nan, nan, nan, 'English fiction.', nan]","['First published: 1940.', 'Originally published: London : Collins, 1975', 'Originally published: London : Collins, 1934', 'Originally published: London : Collins, 1928.', 'First published in Great Britain by Collins 1943.', 'Originally published: London : Collins, 1954', nan, 'Originally published: London : Collins, 1930.', 'Originally published Collins 1934', 'Originally published, London: Collins, 1933', '"Agatha Christie signature ed."', nan, nan, nan, nan, 'Originally published: London : Collins, 1957', 'TV tie-in.']",1951.0,1993.0,17
Alan Bennett,"['Bennett, Alan,1934-', 'Bennett, Alan,1934-']", "['Habeas Corpus a play in two acts', 'The old country /']", "[1973.0, 1978.0]","['London Faber', 'London : Faber and Faber,']","['eng', 'eng']","['English drama.', 'English drama.']","['ISBN 0 571 10509 2 Pbk: £0.80', 'Three men, 3 women']",1973.0,1978.0,2
Alan Morton Dershowitz,"['Dershowitz, Alan M.(Alan Morton)']", "['Why terrorism works : understanding the threat, responding to the challenge /']", [2002.0],"['New Haven, Conn ; London : Yale University Press,']",['eng'],['Terrorism'],['Includes bibliographical references and index.'],2002.0,2002.0,1
Alan Walker,"['Walker, Alan,1911-2003.', 'Walker, Alan,1930-']", "['God, the disturber', 'Liszt']", "[1975.0, 1971.0]","['London Hodder and Stoughton', 'London (3 Queen Sq., W.C.1.) Faber and Faber Ltd']","['eng', 'eng']","['Sermons, English.', 'Liszt, Franz, 1811-1886.']","['Originally published: Waco, Texas : Word Books, 1973', 'bibl p99']",1971.0,1975.0,2
Alan Young,"['Young, Alan,1947 November 29-author.', 'Young, Alan,1947 November 29-', 'Young, Alan,1947 November 29-', 'Young, Alan,1947 November 29-author.', 'Young, Alan,1947 November 29-author.', 'Young, Alan,1947 November 29-']", "['nan', 'Change /', 'Midnight light /', 'nan', 'nan', 'Just words /']", "[2007.0, 2006.0, 2012.0]","[nan, 'Aberdeen : Elizabeth Simon,', 'Aberdeen : Alexander Stuart Publications,', nan, nan, 'Aberdeen : Elizabeth Simon Press,']","['eng', 'eng', 'eng', 'eng', 'eng', 'eng']","[nan, nan, nan, nan, nan, nan]","['Title from cover.', 'Title from cover.', nan, 'Title from cover.', 'Library copy has a letter from the author dated 11 August 2020 loosely inserted.', nan]",2006.0,2012.0,3
Alastair Burnet,"['Burnet, Alastair.']", "['The ITN book of the Queen Mother']", [1985.0],"["[London?] Independent Television News in association with Michael O'Mara Books"]",['eng'],"['Elizabeth, Queen, consort of George VI, King of Great Britain, 1900-2002.']",['Ill on lining papers'],1985.0,1985.0,1
Albert Halper,"['Halper, Albert,1904-1984.']", "['The Chicago crime book']", [1968.0],['London Souvenir P'],['eng'],['Crime'],"['Originally published, Cleveland: World Publishing Co., 1967']",1968.0,1968.0,1
Albert Wendt,"['Wendt, Albert,1939-']", "['Nuanua : Pacific writing in English since 1980 /']", [1995.0],"['Auckland : Auckland University Press,']",['eng'],['Pacific Island literature (English)'],[nan],1995.0,1995.0,1
Aldous Huxley,"['Huxley, Aldous,1894-1963.', 'Huxley, Aldous,1894-1963.', 'Huxley, Aldous,1894-1963.']", "['Music at night, and other essays.', 'Ends and means : an enquiry into the nature of ideals and into the methods employed for their realization /', 'Adonis and the alphabet, and other essays.']", "[1931.0, 1937.0, 1956.0]","['London, ', 'London : Chatto & Windus,', 'London, ']","['eng', 'eng', 'eng']","[nan, 'Social problems.', nan]","[nan, 'Includes bibliographical references and index.', nan]",1931.0,1956.0,3
Aleister Crowley,"['Crowley, Aleister,1875-1947.']", "['Amphora']", [1908.0],['London Burns and Oates'],['   '],[nan],[nan],1908.0,1908.0,1
