author,creator,titles,dates,publishers,languages,subjects,descriptions,earliest_year,latest_year,Frequency,_merge
 Majchrzak,"['Majchrzak, Ann.Methods for policy research (1984)']",['Methods for policy research : taking socially responsible action.'],[nan],[nan],['eng'],['Policy sciences'],['Foreword -- Preface -- Acknowledgements -- About the authors -- Chapter 1. Make a difference with policy research -- Chapter 2. Launch the policy research process -- Chapter 3. Synthesize existing evidence -- Chapter 4. Obtain new evidence -- Chapter 5. Design policy recommendations -- Chapter 6. Expand stakeholder engagement -- Chapter 7. Reflect on the policy research voyage -- References -- Index.'],,,,left_only
 Peddle,"['Peddle, ,Mrs.']","['Rudiments of taste In a series of letters, from a mother to her daughters. By the author of The life of Jacob.']",[1789.0],"['[London] : Printed for C. Dilly, in the Poultry,']",['eng'],[nan],['With a half-title and two final advertisement leaves.'],,,,left_only
 Yasar Kemal,"['Yaşar Kemal,1922-']",['They burn the thistles /'],[1977.0],['London Writers and Readers'],['eng'],[nan],"['Originally published: London : Collins ; Harvill Press, 1972']",,,,left_only
A. B. Greaves,"['Greaves, A. B.(Alexander Benjamin),1750-1834.']","['A sermon alluding to the present times By the Rev. Alexander Benjamin Greaves, ...']",[1797.0],"['Sheffield : printed for the author by James Montgomery,']",['eng'],[nan],['ESTC'],,,,left_only
A. D. Stanyon,"['Stanyon, A. D.']","[""Edie's folly : a novel /""]",[1995.0],"['Washington, D.C. ; London : Minerva,']",['eng'],[nan],[nan],,,,left_only
A. Fisher,"['Fisher, A.(Anne),1719?-1778.aut']","[""The American instructor: or, Young man's best companion. Containing, spelling, reading, writing, and arithmetick, in an easier way than any yet published; and how to qualify any person for business, without the help of a master. Instructions to write variety of hands ... How to write letters on business or friendship. Forms of indentures ... releases, &c. Also merchants' accompts, and a short and easy method of shop and book-keeping; with a description of the several American colonies. Together with the carpenter's plain and exact rule: shewing how to measure carpenters ... and painters work ... Likewise the practical gauger made easy ... To which is added, The poor planter's physician ... And also prudent advice to young tradesmen and dealers. The whole better adapted to these American colonies, than any other book of the like kind. By George Fisher, accomptant.""]",[1748.0],"['Philadelphia : Printed by B. Franklin and D. Hall, at the new-printing-office, in Market-Street,']",['eng'],[nan],"[""Rosenbach, A.S.W. Children's books,""]",,,,left_only
A. G. Hebert,"['Hebert, A. G.(Arthur Gabriel),1886-1963.', 'Hebert, A. G.(Arthur Gabriel),1886-1963.']","['The authority of the Old Testament.', 'Unity in the truth. An examination of the ""Outline of a reunion scheme for the Church of England and the Evangelical Free Churches of England"" [issued by their joint conference.]']","[1947.0, 1939.0]","['London, ', 'London, ']","['eng', 'eng']","[nan, nan]","[nan, nan]",,,,left_only
A. L. Morton,"['Morton, A. L.(Arthur Leslie),1903-', 'Morton, A. L.(Arthur Leslie),1903-']","['The everlasting gospel. A study in the sources of William Blake.', 'Political writings of William Morris']","[1958.0, 1984.0]","['London,', 'London Lawrence and Wishart']","['eng', 'eng']","[nan, 'Socialism']","[nan, nan]",,,,left_only
A. M. Lee,"['Lee, A. M.']","['A scholar of a past generation. A brief memoir of Samuel Lee, D.D.']",[1896.0],"['London, ']",['eng'],[nan],[nan],,,,left_only
A. R. Hope Moncrieff,"['Moncrieff, A. R. Hope(Ascott Robert Hope),1846-1927.', 'Moncrieff, A. R. Hope(Ascott Robert Hope),1846-1927.', 'Moncrieff, A. R. Hope(Ascott Robert Hope),1846-1927.', 'Moncrieff, A. R. Hope(Ascott Robert Hope),1846-1927.', 'Moncrieff, A. R. Hope(Ascott Robert Hope),1846-1927.', 'Moncrieff, A. R. Hope(Ascott Robert Hope),1846-1927.', 'Moncrieff, A. R. Hope(Ascott Robert Hope),1846-1927.']","['The lycée boys; or, School life in France.', ""The hermit's apprentice /"", 'The wigwam and the war-path; or, Tales of the Red Indians /', 'Young days of authors /', ""Black's guide to Dorset, Salisbury, Stonehenge, etc. /"", '""Dumps"", and other stories.', 'The daughter of the regiment ... With ... /']","[1871.0, 1898.0, 1884.0, 1885.0, 1921.0, 1925.0, 1881.0]","['Edinburgh,', 'Edinburgh : W.P. Nimmo, Hay, & Mitchell,', 'London,', 'London,', 'London, ', 'London,', 'London,']","['eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng']","[nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, 'A reissue of Edinburgh 1886 ed.', nan]",,,,left_only
