Creator,Frequency,translation_count,earliest_year,latest_year,frequency_categories,Years,Titles
United Nations,11,275,1957.0,2014.0,0-14,"[1989.0, 1980.0, 2000.0, 2007.0, 1977.0, 1965.0, 1957.0, 2014.0, 1982.0, 1991.0, 1993.0]","['The United Nations social agenda.', 'Symposium on the role of the police in the protection of human rights', 'Welcome to Gigiri : information guide.', 'UNBISnet [electronic resource] : United Nations bibliographic information system.', 'Single Convention on Narcotic Drugs, 1961 : as amended by the 1972 protocol amending the single convention on narcotic drugs, 1961.', '[United Nations World Population Conference, Belgrade, Yugoslavia, 30 August to 10 September 1965 = Nations Unies Congrès mondial de la population, Belgrade (Yougoslavie), 20 août - 10 septembre 1965].', 'Rapport épidémiologique et démographique = Epidemiological and vital statistics report.', 'An illusion of safety : challenges of nuclear weapon detonations for United Nations humanitarian coordination and response /', 'United Nations official records 1962-1981', 'The Family : bulletin on the International Year of the Family, 1994.', 'The United Nations Population Award 1993 : Laureates: Dr. Frederick T. Sai & Population Problems Research Council of the Mainichi Shimbun : acceptance speeches & other statments.']"
London,2,266,2003.0,2006.0,0-14,"[2003.0, 2006.0]","['Taking equalities seriously : a review of the budget and equalities process in the GLA group /', 'London plan density matrix review /']"
Jesus Christ,10,261,1600.0,1928.0,0-14,"[1710.0, 1897.0, 1892.0, 1813.0, 1859.0, 1892.0, 1928.0, 1737.0, 1600.0, 1849.0]","['Probatio Spiritus, qui in verbis Christi, de S. Eucharistia, tò est transmutat in significat.', 'Of the imitation of Christ.', ""In the master's garden. A daily companion for a month /"", 'The great salvation of Jesus Christ. [Expositions of scripture texts.]', 'The following of Christ, in four books. A new translation. [Anon.]', 'Of the imitation of Christ. Revised translation.', ""The children's friend. With illustrations."", 'Soteria in memoriam Servatoris morientis, etc.', 'Selectarum Disputationum Theologicarum I[-XXXIX]. Qua asseritur, Mediatorem Dei & Hominum Christum debuisse esse Verum Deum. [IV-XXXIX are commentaries on the ""De Divinitate Jesu Christi"" of Valentin Schmalz.]', 'The passion. Devout meditations and affections on the holy passion of Our Saviour Jesus Christ ...']"
Nigeria,4,259,1956.0,1968.0,0-14,"[1961.0, 1956.0, 1963.0, 1968.0]","['Report on the first African regional conference of the International Labour Organisation, held in Lagos ... 1960.', 'Report of the grading teams and reviewing body for the Federal Public Service, including the Southern Cameroons. 1956.', 'Federal Republic of Nigeria official gazette.', 'Comments of the Federal Military Government on the Report of the Tribunal of Inquiry into the Affairs of W.A.A.C. (Nigeria) Limited, otherwise known as Nigeria Airways, for the period 1st March, 1961, to 31st December, 1965.']"
Kenya,2,256,1952.0,1960.0,0-14,"[1960.0, 1952.0]","['The developmental programme 1960/63.', 'Report of the board under the chairmanship of Sir William Ibbotson, on the marketing of maize and other produce, August, 1952.']"
European Union,3,229,2005.0,2007.0,0-14,"[2005.0, 2007.0, 2005.0]","['Working in partnership with : the European Union : strategy on eradicating poverty and achieving the Millennium Development Goals.', 'Europe and Wales : investing in your future /', ""Arferion da wrth reoli prosiectau'r cronfeydd strwythurol : crynodeb gweithredol /""]"
Religious,2,222,1921.0,1928.0,0-14,"[1921.0, 1928.0]","['Flowers & fruit of the Catholic faith gathered from the catechism /', 'A little nativity play /']"
William Shakespeare,51,214,1700.0,2007.0,45-59,"[1734.0, 1770.0, 1987.0, 1765.0, 1703.0, 1990.0, 1731.0, 1840.0, 1969.0, 1796.0, 1778.0, 1978.0, 1976.0, 1719.0, 1968.0, 1735.0, 1888.0, 1894.0, 1968.0, 1766.0, 2007.0, 1992.0, 2003.0, 1897.0, 1884.0, 1884.0, 1734.0, 1794.0, 1895.0, 1700.0, 1786.0, 1779.0, 1906.0, 1905.0, 1830.0, 1968.0, 1784.0, 1938.0, 1901.0, 1703.0, 1915.0, 1905.0, 1904.0, 1945.0, 1901.0, 1752.0, 1800.0, 1968.0, 2000.0, 1923.0, 1905.0]","['The life of Henry V. By Mr. William Shakespear.', 'The merchant of Venice. By William Shakespear.', 'Macbeth, William Shakespeare guide', ""Cymbeline. : A tragedy. The author Mr. William Shakespear. According to Mr. Pope's second edition.."", 'The tragedy of Hamlet Prince of Denmark. As it is now acted by Her Majesties Servants. By William Shakespeare.', ""Brodie's notes on William Shakespeare's A midsummer night's dream /"", ""The tragical history of King Richard III. Containing the distresses and death of K. Henry the Sixth. ... As it is now acted at the Theatre-Royal in Drury-Lane. Reviv'd with alterations by Mr. Cibber, from Shakespear."", 'The dramatic works of William Shakespeare', 'The two gentlemen of Verona, 1763 [a comedy; written by Shakespeare, with alterations and additions by B. Victor]', 'The plays of William Shakspeare, complete, in eight volumes. ...', 'The tempest. A comedy. As it is acted at the Theatres-Royal in Drury-Lane and Covent-Garden. By Shakespeare.', 'Doamna brună din sonete (The dark lady of the sonnets) versiune româneascǎ adnotatǎ la 28 din sonetele /', ""The Ukrainian translations of Shakespeare's sonnets a stylistic analysis"", ""The tragedy of Julius Cæsar: with the death of Brutus and Cassius; written originally by Shakespear, and since alter'd by Sir William Davenant and John Dryden ... To which is prefix'd, The life of Julius Cæsar, abstracted from Plutarch and Suetonius."", 'Twelfth Night', 'A Yorkshire tragedy. By Mr. William Shakespear.', 'Twelfth night; or, What you will.', 'Works. With life and glossary carefully edited from the best texts.', 'As you like it /', ""The tragical history of King Richard III. Alter'd from Shakespear by Colley Cibber, Esq;"", ""Supernatural scenes from Shakespeare's Macbeth /"", 'Twelfth night /', '20 minute Romeo & Juliet.', ""Bell's reader's Shakespeare. The comedies. Consensed, connected, and emphasized for school, college, parlour, and platform."", 'The comedy of As you like it. With notes, prepared specially for the Oxford and Cambridge local examinations.', 'King Henry VIII.', 'The life and death of Richard III. With the landing of the Earl of Richmond, and the battle at Bosworth-Field. By Mr. William Shakespear.', 'The plays and poems of William Shakspeare, in sixteen volumes. Collated verbatim with the most authentick copies, and revised: with the corrections and illustrations of various commentators; to which are added, an essay on the chronological order of his plays; an essay relative to Shakspeare and Jonson; a dissertation ... An historical account ... by Edmond Malone.', 'The two gentlemen of Verona.', 'The tragical history of King Richard III. : As it is acted at the Theatre Royal. /', ""Coriolanus. A tragedy. Written by William Shakspeare. Marked with the variations in the manager's book, at the Theatre-Royal in Drury-Lane."", ""The winter's tale A tragedy. As it is acted at the Theatres-Royal in Drury-Lane and Covent-Garden. By Shakespeare."", 'Julio Cezaro. Tragedio en kvin aktoj /', 'Timon of Athens. With another play on Timon /', 'Ende gut, Alles gut /', 'Troilus and Cressida', ""This day is published, Stockdale's edition of Shakspeare; including, in one volume, the whole of his dramatic works; with explanatory notes, compiled from various commentators. Embellished with a striking likeness of the author."", 'Král Jindřich Šestý, tragedie tři díly v jednom představení /', 'The lamentable tragedy of Titus Andronicus.', 'The tragedy of Hamlet Prince of Denmark. As it is now acted by Her Majesties Servants. By William Shakespeare.', 'The songs and sonnets of William Shakespeare /', 'Second part of King Henry VI /', 'Romeo and Juliet /', 'Romeo kaj Julieto. Tragedio en kvin aktoj ... /', 'The two gentlemen of Verona. A comedy.', 'K. Henry VIII. A tragedy. Containing the following historical relations: ... Written by W. Shakespear, with alterations by Dryden, as it is now acted in the Theatres-Royal of London and Dublin.', 'The plays of William Shakspeare. ...', 'The life of Timon of Athens /', 'The merry wives of Windsor /', 'Comme il vous plaira /', 'Third part of King Henry VI /']"
Scotland,2,213,1704.0,1706.0,0-14,"[1704.0, 1706.0]","['Act for an additional representation of barrons. : August 19. 1704..', 'Act settling the manner of electing the sixteen peers, and forty five members, to represent Scotland in the Parliament of Great Britain..']"
Aristotle,5,212,1762.0,1991.0,0-14,"[1963.0, 1762.0, 1780.0, 1991.0, 1956.0]","[""Aristotle's categories and de interpretatione /"", ""Aristotle's complete master piece. In three parts: displaying the secrets of nature in the generation of man. ... To which is added, a treasure of health; or the family physician: ..."", ""The whole of Aristotle's compleat master-piece, in three parts: displaying the secrets of nature in the generation of man. ... To which is added a treasure of health: or the family physician. ..."", 'The art of rhetoric /', 'The ethics of Aristotle the Nicomachean ethics translated']"
