author,creator,titles,dates,publishers,languages,subjects,descriptions,earliest_year,latest_year,Frequency,_merge
Antonius Geraldinus,"['Geraldinus, Antonius.']",['Antonii Geraldini Poete Lavreati Bvcolica : antehac paucis uisa.'],[1544.0],"['[S.l.]  : [s.n.] ,']",['lat'],[nan],"['Original Imprint:  Per Robertvm VVinter, Basileae, Anno M.D.XLIIII. - Mikrofiche.  München : Saur, 1992.']",1544.0,1544.0,1,left_only
Thomas HamiltonEarl of Haddington,"['Haddington, Thomas Hamilton,Earl of,1563-1637,former owner.StEdNL', 'Haddington, Thomas Hamilton,Earl of,1563-1637,former owner.StEdNL', 'Haddington, Thomas Hamilton,Earl of,1563-1637.former owner.StEdNL', 'Haddington, Thomas Hamilton,Earl of,1563-1637.former owner.StEdNL', 'Haddington, Thomas Hamilton,Earl of,1563-1637,former owner.StEdNL', 'Haddington, Thomas Hamilton,Earl of,1563-1637,former owner.StEdNL']","['Memorables obseruations du droit francois, rapporté au ciuil et canonic: illustrees des arrests des cours souueraines de France, & auctoritez des plus celebres aucteurs; ...', 'Singularia doctorum in vtroque iure excellentium, ad praxin potissimum accommodata, analyticisque additionibus, necnon doctissimis annotationibus illustrata & aucta. ...', 'De Hispanorum primogeniorum origine ac natura libri quatuor /', 'Corpus iuris ciuilis, in quinque partes distinctum ... His accesserunt notae repetitae tertiaeque lectionis, Dionysio Gothofredo IC. authore ....', 'Caroli Sigonii De republica Hebræorum libri VII, ...', 'Ordenacas reales de Castilla. Por las quales primeramente se han de librar todos los pleytos ciuiles & criminales. E los que porellas no se hallare determinados se han de librar por las otras leyes y fueros y drechos.']","[1614.0, 1596.0, 1588.0, 1602.0, 1608.0, 1551.0]","[""A Paris, chez la vefue Claude de Monstr'oeil, ..."", 'Francofurti apud Andreae Wecheli heredes, Claudium Marnium, & Ioan. Aubrium.', 'Lugduni. : Sumptibus Petri Landry.,', 'S. Geruasii. : Ex officina Vignoniana.,', 'Hanoviæ typis Wechelianis, apud Claudium Marnium, & hæredes Io. Aubrii.', '[Toledo] fue impresso el presente libro ... en la imperial ciudad de Toledo. En casa de Juan de Ayala. A costa de Dieo Lopez ...']","['fre', 'lat', 'lat', 'lat', 'lat', 'spa']","[nan, 'Roman law.', 'Primogeniture', nan, 'Jews', 'Law']","['Ownership inscription on title page reads: Melros. Armorial bookplate of ""The Right Honble. Thomas Earl of Hadinton"" on the title page verso.', 'Item records and volume number generated programmatically as part of an external digitisation project', 'Ownership inscriptions on title page read: ""Melros"", ""STHamilton"". Armorial bookplate of ""The Right Honble. Thomas Earl of Hadinton"" on the title page verso.', 'Ownership inscriptions on title page read: ""STHamilton"", ""Melros"". Armorial bookplate of ""The Right Honble. Thomas Earl of Hadinton"" on the title page verso.', 'Ownership inscriptions on title page read: ""Melros"", ""StHamilton"". Armorial bookplate of  ""The Right Honble. Thomas Earl of Hadinton"" on the title page verso.', 'Ownership inscriptions on title page read: ""Melros"", ""STHamilton"".']",1551.0,1614.0,6,left_only
John Poet Barclay,"['Barclay, John, Poet, Author of the Argenis.']",['Le Tableau des Esprits ... / '],[1625.0],"['Paris :  I. Petit-Pas, ']",['fre'],[nan],[nan],1625.0,1625.0,1,left_only
John Milton,"['Milton, John,1608-1674.', 'Milton, John,1608-1674.', 'Milton, John,1608-1674.', 'Milton, John,1608-1674.', 'Milton, John,1608-1674.', 'Milton, John,1608-1674.', 'Milton, John,1608-1674.', 'Milton, John,1608-1674.', 'Milton, John,1608-1674.', 'Milton, John,1608-1674.', 'Milton, John,1608-1674.', 'Milton, John,1608-1674.', 'Milton, John,1608-1674.']","[""Samson. An oratorio. As it is perform'd at the Theatre-Royal in Covent-Garden. Alter'd and adapted to the stage from the Samson Agonistes of Milton. Set to musick by George Frederick Handel."", ""Poems by John Milton, containing extracts from Paradise lost, L'allegro, Il penseroso; to which is prefixed a sketch of the author's life."", ""Paradise regain'd. A poem. In four books. Samson Agonistes. A dramatick poem. Comus. A mask: with Poems on several occasions and a tractate of education. The author John Milton."", ""Milton's sonnets and Coleridge's The rime of the ancient mariner /"", 'Paradise lost. A poem, in twelve books. The author John Milton. From the text of Thomas Newton D.D.', 'Poems of Mr. John Milton, both English and Latin, etc. [A reproduction of the first edition of 1645, prepared for the press by Milton, from the copy in the British Museum. Without the second half of the book containing the Latin poems. With a portrait.]', 'Arcades.', 'The poetical works of John Milton. With a life of the author, by William Hayley. ...', 'Areopagitica, and other prose works /', 'A selection of poems by John Milton /', 'Paradise lost. Bk. VI /', 'An answer to a booke entituled, An humble remonstrance· : In which, the originall of liturgy episcopacy is discussed. And qu aeres propounded concerning both. The parity of bishops and presbyters in scripture demonstrated. The occasion of their imparity in antiquity discovered. The disparity of the ancient and our moderne bishops manifested. The antiquity of ruling elders in the church vindicated. The prelaticall church bownded. /', 'Paradise lost. A poem written in ten books. The author John Milton.']","[1749.0, 1797.0, 1757.0, 1914.0, 1758.0, 1926.0, 1930.0, 1794.0, 1955.0, 1953.0, 1904.0, 1641.0, 1668.0]","['London : printed for J. and R. Tonson and S. Draper,', 'Manchester : printed at the office of G. Nicholson. Sold by T. Knott; and Champante & Whitrow, London. Anno,', 'London [i.e. Edinburgh?] : printed for T. Thompson, R. Damper, L. Burch, H. Shoram, T. Clitch, B. Blossom, D. Lord, F. Fritchet, G. Townwold, J. Dwarf, J. Liblond, and W. Blanchard,', 'Bombay, London,', 'Birmingham : printed by John Baskerville for J. and R. Tonson in London,', 'London,', 'Shaftesbury,', 'London : printed by W. Bulmer and Co., for John and Josiah Boydell, and George Nicol; from the types of W. Martin,', 'London,', 'London,', 'London,', 'London : For I. Rothwell, and are to be sold by T. N. at the Bible in Popes-head Alley.', 'London : printed by S. Simmons, and are to be sold by S. Thomson at the Bishops-Head in Duck-lane, H. Mortlack at the White Hart in Westminster Hall, M. Walker under St. Dunstans Church in Fleet-street, and R. Boulter at the Turks-Head in Bishopsgate street,']","['eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng']","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 'Episcopacy', 'Fall of man']","['ESTC', 'ESTC', 'ESTC', nan, 'Gaskell,', nan, nan, 'ESTC', '[With a bibliography.]', nan, nan, 'ESTC', 'ESTC']",1641.0,1955.0,13,left_only
Edward Hailstone,"['Hailstone, Edward,1818-1890,former owner.StEdNL', 'Hailstone, Edward,1818-1890,former owner.StEdNL', 'Hailstone, Edward,1818-1890,former owner.StEdNL', 'Hailstone, Edward,1818-1890,former owner.StEdNL: Crawford.ET.s.1646/89', 'Hailstone, Edward,1818-1890,former owner.StEdNL: Crawford.ET.s.1642/435', 'Hailstone, Edward,1818-1890,former owner.StEdNL', 'Hailstone, Edward,1818-1890,former owner.StEdNL']","['A supply to a draught of an act or system proposed (as is reported) by the committee for regulations concerning the lavv: wherein are provisoes against several inconveniences which may befall the free-people of this nation thereby, unless seasonably by the Supreme Power, or otherwise prevented. To which is added, a short treatise of tithes, shewing their original rise, to whom due, how they have been disposed of from age to age; with seasonable proposals for the future preservation and advancement of religion and learning, and setling a competent maintenance for ministers and true labourers therein, for perpetual quiet of the nation. Published by divers officers and souldiers of the Commonwealth and Army, being the second part of their antidote and tendered to the same consideration.', 'A declaration of the Lords and Commons assembled in Parliament, for the raising of all power, and force, as well trained bands as others, in severall counties of this kingdom, to lead against all traytors, and their adherents, and them to arrest and imprison, and to figh with, kill, and slay all such as shall oppose any of His Majesties loving subjects that shall be imployed in this service, by either or both Houses of Parliament. Ordered that this declaration be forthwith printed, Hen. Elsinge, Cler. Parl. D. Com.', 'An additionall ordinance of the Lords and Commons assembled in Parliament: concerning dayes of recreation, allowed unto schollers, apprentices and other servants. Die Lunæ 28 Junii. 1647. Ordered by the Lords assembled in Parliament, that this ordinance be forthwith printed and published. Jo. Brown Cler. Parliamentorum.', ""A gagge for long-hair'd rattle-heads who revile all civill round-heads."", 'A declaration and protestation of the Lords and Commons in Parliament to this Kingdom, and the whole world: wherein (amongst divers of His Majesties late illegall proceedings) is discovered, how severall commissions under the Kings authority have been granted to many profest papists (herein nominated) for places of command in this warre, ... Also, how Sir Iohn Hinderson and Collonel Cockram were sent to Hamburgh and Denmarke, to raise forces there, and in other forraine parts, to bring into this kingdom. With the names of some who have been proclaimed rebels in Ireland, now in great favor with his Majesty. For which and other reasons they are resolved to enter into a solemne oath and covenant with God to the utmost of their power, with the hazzard of their lives and fortunes to defend the truth against the Kings popish army, and all that shall joyn with them in the prosecution of this wicked designe.', 'Treason discovered: or the impeachment of Daniel Oneale Sergeant Major, one of the commanders in the last expedition against Scotland, and now prisoner in the gate-house. Wherein is exprest all his trecherous endeavours to bring the army in dislike of the proceedings of the Houses of Parliament. With all the articles exhibited against him, and his answer to every article. Likewise his accusations proved by these honorable persons. Sir Jacob Ashley. Sir Iohn Connyers. Sir Fulk Hunkes. Captaine Legg.', 'Mr. Maynards speech before both Houses in Parliament, upon Wednesday the xxiiijth. of March, in reply upon the Earle of Straffords answer to his articles at the barre.']","[1653.0, 1642.0, 1647.0, 1645.0, 1642.0, 1641.0, 1641.0]","['[London] : Printed for the use of the Common-wealth and Army, and to be sold by Tho: Brewster at the Three-Bibles, by Pauls,', '[London] : August 9. London, printed for Edward Husbands, and Iohn Franck,', 'London : printed for John Wright at the Kings Head in the old Bayley,', '[London? : s.n.,', 'London : Printed for I. Wright,', 'London : printed for John Greensmith,', '[London : s.n.],']","['eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng']","['Tithes', nan, 'Apprentices', nan, 'Anti-Catholicism', ""O'Neill, Daniel, 1612?-1664"", 'Strafford, Thomas Wentworth, Earl of, 1593-1641']","['Maroon morocco gilt armorial bookplate of Edward Hailctone on front pastedown.', 'Black morocco gilt armorial bookplate of Edward Hailctone on front pastedown.', 'Black morocco gilt armorial bookplate of Edward Hailctone on front pastedown.', 'Red morocco gilt armorial bookplate of Edward Hailctone on front pastedown.', 'Green morocco gilt armorial bookplate of Edward Hailctone on front pastedown.', 'Red morocco gilt armorial bookplate of Edward Hailctone on front pastedown.', 'Black morocco gilt armorial bookplate of Edward Hailctone on front pastedown.']",1641.0,1653.0,7,left_only
Samuel Rutherford,"['Rutherford, Samuel,1600?-1661.', 'Rutherford, Samuel,1600?-1661.']","['Lex, rex: The law and the prince. : A dispute for the just prerogative of king and people. Containing the reasons and causes of the most necessary defensive wars of the Kingdom of Scotland, and of their expedition for the ayd and help of their dear brethren of England. In which their innocency is asserted, and a full answer is given to a seditious pamphlet, intituled, Sacro-sancta regum majestas, or The sacred and royall prerogative of Christian kings; under the name of J.A. But penned by Jo: Maxwell the excommunicate P. prelat. With a scripturall confutation of the ruinous grounds of W. Barclay, H. Grotius, H. Arnisaeus, Ant. de Domi. P. Bishop of Spalato, and of other late anti-magistratical royalists; as, the author of Ossorianum, D. Fern, E. Symmons, the doctors of Aberdeen, &c. In XLIV. questions. Published by authority.', 'The power and prevalency of faith and prayer evidenced, in a practical discourse upon Matth. 9.27,31. By Mr. Samuel Rutherford, ...']","[1644.0, 1713.0]","['London : Printed for Iohn Field, and are to be sold at his house upon Addle-hill, neer Baynards-Castle,', '[Edinburgh?] : Printed in the year,']","['eng', 'eng']","['Divine right of kings', nan]","['ESTC', 'ESTC']",1644.0,1713.0,2,left_only
Rene Descartes,"['Descartes, René,1596-1650.', 'Descartes, René,1596-1650.', 'Descartes, Rénè.', 'Descartes, René,1596-1650.Correspondence.English.Selections.']","['Renati Des-Cartes Musicae Compendium.', 'Discourse on method, and other writings /', 'Discours de la methode pour bien conduire sa raison et chercher la verité dans les sciences. Plus La dioptrique, Les meteores, La mechanique, & La musique; qui sont des essais de cette méthode.', 'The correspondence between Princess Elisabeth of Bohemia and René Descartes /']","[1650.0, 1960.0, 1724.0, 2007.0]","['Trajecti ad Rhenum, : Typis Gisberti à Zijll, & Theodori ab Ackersdijck.,', 'Harmondsworth, ', 'Paris,', 'Chicago, Ill. ; London : University of Chicago Press,']","['lat', 'eng', 'fre', 'eng']","['Music', nan, nan, 'Philosophy, Modern']","[nan, nan, nan, 'Includes bibliographical references and index.']",1650.0,2007.0,4,left_only
E. K.,['E. K.'],"['The universal character, by which all the nations in the world may understand one anothers conceptions, reading out of one common writing and their own mother tongues. : An invention of general use, the practice whereof may be attained in two hours space, observing the grammatical directions. Which character is so contrived, that it may be spoken as well as written. /']",[1657.0],"['London, : Printed by Tho. Maxey, for William Weekley, and and [sic] are to be sould at his shop in Ipswich.,']",['eng'],"['Language, Universal']","['Wing (2nd ed., 1994)']",1657.0,1657.0,1,left_only
John Tombes,"['Tombes, John,1603?-1676.']","['A serious consideration of the oath of the kings supremacy: : wherein these six propostions are asserted. 1. That some swearing is lawful. 2. That some promissory oaths are lawful. 3. That a promissory oath of allegiance and due obedience to a king is lawful. 4. That the king in his realm, is the onely Supreme Governour over all persons. 5. That the king is the governour of the realm, as well in all spiritual or ecclesiastical things, or causes, as temporal. 6. That the jurisdictions, priviledges, preeminences, and authorities in that oath, may be assisted and defended. /']",[1660.0],"['London, : Printed by H. Hills ...,']",['eng'],"['Prerogative, Royal']",['Wing (2nd ed.)'],1660.0,1660.0,1,left_only
Author of A. letter to a. member,['Author of A letter to a member.'],['An humble addresse to the right honourable Lords and Commons assembled in Parliament in vindication of kingly power and government against the damnable positions of Jesuits and phanatiques desiring they would be pleased to call in the king without dishonourable condition according to his just right / written by the author of a letter to a member.'],[1660.0],"['London : Printed by Peter Lillicrap for Henry Marsh ..,']",['eng'],['Monarchy'],['ESTC'],1660.0,1660.0,1,left_only
