decade,word,tf
0-50,age,0.020833333333333332
0-50,artist,0.020833333333333332
0-50,ayer,0.020833333333333332
0-50,brown,0.0625
0-50,brunonian,0.020833333333333332
0-50,call,0.020833333333333332
0-50,came,0.020833333333333332
0-50,caus,0.020833333333333332
0-50,contin,0.020833333333333332
0-50,debtor,0.020833333333333332
0-50,devis,0.020833333333333332
0-50,die,0.020833333333333332
0-50,diseas,0.020833333333333332
0-50,especi,0.020833333333333332
0-50,establish,0.020833333333333332
0-50,evan,0.041666666666666664
0-50,ford,0.0625
0-50,freemason,0.020833333333333332
0-50,grandfath,0.041666666666666664
0-50,great,0.020833333333333332
0-50,john,0.020833333333333332
0-50,littl,0.020833333333333332
0-50,maddox,0.041666666666666664
0-50,main,0.020833333333333332
0-50,medic,0.020833333333333332
0-50,medicin,0.020833333333333332
0-50,much,0.020833333333333332
0-50,novelist,0.020833333333333332
0-50,noy,0.020833333333333332
0-50,physician,0.020833333333333332
0-50,popular,0.020833333333333332
0-50,prison,0.020833333333333332
0-50,quit,0.020833333333333332
0-50,scottish,0.041666666666666664
0-50,skeel,0.020833333333333332
0-50,stimul,0.020833333333333332
0-50,system,0.020833333333333332
0-50,theori,0.020833333333333332
0-50,unfortun,0.020833333333333332
0-50,webster,0.020833333333333332
850-900,estc,1.0
1450-1500,advocatorum,0.004405286343612335
1450-1500,alexand,0.004405286343612335
1450-1500,alexandro,0.004405286343612335
1450-1500,anima,0.004405286343612335
1450-1500,aristotel,0.004405286343612335
1450-1500,atq,0.004405286343612335
1450-1500,author,0.004405286343612335
1450-1500,back,0.00881057268722467
1450-1500,band,0.004405286343612335
1450-1500,bibliotheca,0.004405286343612335
1450-1500,blind,0.00881057268722467
1450-1500,board,0.02643171806167401
1450-1500,border,0.004405286343612335
1450-1500,busi,0.004405286343612335
1450-1500,cale,0.004405286343612335
1450-1500,calenda,0.004405286343612335
1450-1500,calf,0.00881057268722467
1450-1500,canonici,0.004405286343612335
1450-1500,centuri,0.004405286343612335
1450-1500,cetera,0.004405286343612335
1450-1500,clarissimo,0.004405286343612335
1450-1500,clasp,0.004405286343612335
1450-1500,co,0.004405286343612335
1450-1500,codex,0.004405286343612335
1450-1500,commendato,0.004405286343612335
1450-1500,compart,0.004405286343612335
1450-1500,cordia,0.004405286343612335
1450-1500,corpu,0.004405286343612335
1450-1500,da,0.004405286343612335
1450-1500,daran,0.004405286343612335
1450-1500,date,0.004405286343612335
1450-1500,de,0.00881057268722467
