decade,word,tf
0-50,age,1
0-50,artist,1
0-50,ayer,1
0-50,brown,3
0-50,brunonian,1
0-50,call,1
0-50,came,1
0-50,caus,1
0-50,contin,1
0-50,debtor,1
0-50,devis,1
0-50,die,1
0-50,diseas,1
0-50,especi,1
0-50,establish,1
0-50,evan,2
0-50,ford,3
0-50,freemason,1
0-50,grandfath,2
0-50,great,1
0-50,john,1
0-50,littl,1
0-50,maddox,2
0-50,main,1
0-50,medic,1
0-50,medicin,1
0-50,much,1
0-50,novelist,1
0-50,noy,1
0-50,physician,1
0-50,popular,1
0-50,prison,1
0-50,quit,1
0-50,scottish,2
0-50,skeel,1
0-50,stimul,1
0-50,system,1
0-50,theori,1
0-50,unfortun,1
0-50,webster,1
850-900,estc,1
1450-1500,advocatorum,1
1450-1500,alexand,1
1450-1500,alexandro,1
1450-1500,anima,1
1450-1500,aristotel,1
1450-1500,atq,1
1450-1500,author,1
1450-1500,back,2
1450-1500,band,1
1450-1500,bibliotheca,1
1450-1500,blind,2
1450-1500,board,6
1450-1500,border,1
1450-1500,busi,1
1450-1500,cale,1
1450-1500,calenda,1
1450-1500,calf,2
1450-1500,canonici,1
1450-1500,centuri,1
1450-1500,cetera,1
1450-1500,clarissimo,1
1450-1500,clasp,1
1450-1500,co,1
1450-1500,codex,1
1450-1500,commendato,1
1450-1500,compart,1
1450-1500,cordia,1
1450-1500,corpu,1
1450-1500,da,1
1450-1500,daran,1
1450-1500,date,1
1450-1500,de,2
1450-1500,decreti,2
1450-1500,decretor,1
1450-1500,deo,1
1450-1500,diaconu,1
1450-1500,dicit,1
1450-1500,directori,1
1450-1500,discordantiu,1
1450-1500,diuidu,1
1450-1500,duce,1
1450-1500,earli,1
1450-1500,edg,4
1450-1500,endet,3
1450-1500,endpap,1
1450-1500,erscheinungsvermerk,1
1450-1500,et,1
1450-1500,ex,2
1450-1500,explicit,1
1450-1500,fillet,1
1450-1500,fini,2
1450-1500,five,1
1450-1500,flo,1
1450-1500,flosculi,1
1450-1500,flyleaf,1
1450-1500,form,1
1450-1500,fragment,1
1450-1500,french,1
1450-1500,front,1
1450-1500,gallici,1
1450-1500,gilt,10
1450-1500,got,1
1450-1500,gratia,1
1450-1500,gw,2
1450-1500,half,1
1450-1500,huiu,2
1450-1500,impensa,1
1450-1500,impressu,1
1450-1500,incipit,1
1450-1500,inclyto,1
1450-1500,industria,1
1450-1500,inter,1
1450-1500,iulia,2
1450-1500,iuri,2
1450-1500,jenson,1
1450-1500,jn,1
1450-1500,johann,1
1450-1500,kein,1
1450-1500,kolophon,1
1450-1500,label,2
1450-1500,leather,6
1450-1500,leav,3
1450-1500,libri,1
1450-1500,lost,1
1450-1500,manuscript,1
1450-1500,marbl,2
1450-1500,marcello,1
1450-1500,marij,1
1450-1500,maxi,1
1450-1500,mikrofich,5
1450-1500,nach,1
1450-1500,neuu,1
1450-1500,nicolai,1
1450-1500,nicolao,1
1450-1500,omnibu,1
1450-1500,omniu,1
1450-1500,one,1
1450-1500,paper,1
1450-1500,parchment,2
1450-1500,pastedown,1
1450-1500,pigskin,1
1450-1500,plurimam,1
1450-1500,plurimum,1
1450-1500,pontific,1
1450-1500,portfolio,1
1450-1500,print,1
1450-1500,quarter,2
1450-1500,quarto,1
1450-1500,que,1
1450-1500,questionum,1
1450-1500,rais,1
1450-1500,red,2
1450-1500,reveal,1
1450-1500,roll,4
1450-1500,rto,2
1450-1500,rum,1
1450-1500,salutem,1
1450-1500,sanct,1
1450-1500,saur,5
1450-1500,scholarib,1
1450-1500,schr,1
1450-1500,seu,2
1450-1500,singl,1
1450-1500,singulari,1
1450-1500,singuli,1
1450-1500,six,1
1450-1500,sixto,1
1450-1500,spine,3
1450-1500,stamp,4
1450-1500,stude,1
1450-1500,su,2
1450-1500,summarium,1
1450-1500,tabula,1
1450-1500,teilausg,1
1450-1500,textbeginn,2
1450-1500,textend,1
1450-1500,three,1
1450-1500,tibu,1
1450-1500,titelbl,1
1450-1500,titl,1
1450-1500,tool,1
1450-1500,toti,1
1450-1500,trinitati,1
1450-1500,ua,2
1450-1500,ue,1
1450-1500,uenetij,1
1450-1500,ueneto,1
1450-1500,um,1
1450-1500,unbound,1
1450-1500,uoniam,1
1450-1500,us,2
1450-1500,utila,1
1450-1500,vale,1
1450-1500,venetij,1
1450-1500,vincentia,1
1450-1500,visibl,1
1450-1500,volum,1
1450-1500,von,1
1450-1500,vorlageform,1
1450-1500,wast,2
1450-1500,watermark,1
1450-1500,wooden,1
1500-1550,abattista,1
1500-1550,abent,1
1500-1550,ac,3
1500-1550,ad,5
1500-1550,adam,5
1500-1550,addit,1
1500-1550,aedibv,2
1500-1550,aii,1
1500-1550,alexandri,1
1500-1550,ali,1
1500-1550,alia,2
1500-1550,almost,1
1500-1550,along,1
1500-1550,also,1
1500-1550,animatu,1
1500-1550,ann,3
1500-1550,anna,2
1500-1550,anni,1
1500-1550,anno,13
1500-1550,antonii,1
1500-1550,antonio,1
1500-1550,appar,2
1500-1550,aprili,1
1500-1550,apud,6
1500-1550,apvd,6
1500-1550,argentorati,1
1500-1550,arm,1
1500-1550,ati,1
1500-1550,atio,1
1500-1550,augrelli,1
1500-1550,augusto,1
1500-1550,aul,1
1500-1550,ausserdem,2
1500-1550,autem,1
1500-1550,babilonisen,1
1500-1550,back,2
1500-1550,baldelli,1
1500-1550,baptista,1
1500-1550,bascarini,1
1500-1550,basilea,4
1500-1550,basilisco,1
1500-1550,beat,1
1500-1550,bebelij,1
1500-1550,bebelium,1
1500-1550,biblioth,1
1500-1550,bishop,1
1500-1550,blado,1
1500-1550,board,3
1500-1550,book,1
1500-1550,bookstamp,1
1500-1550,bothwel,1
1500-1550,bottom,1
1500-1550,brief,1
1500-1550,bristolioni,1
1500-1550,budaei,1
1500-1550,capit,1
1500-1550,carcovia,1
1500-1550,catholica,1
1500-1550,centuri,2
1500-1550,chalmer,1
1500-1550,chester,1
1500-1550,christoph,1
1500-1550,christophori,1
1500-1550,co,2
1500-1550,coat,1
1500-1550,collect,1
1500-1550,coloi,1
1500-1550,colophon,1
1500-1550,coment,1
