decade,word,tfidf
0-50,age,0.13018891098082383
0-50,artist,0.13018891098082383
0-50,ayer,1.0
0-50,brown,0.39056673294247146
0-50,brunonian,0.13018891098082383
0-50,called,0.13018891098082383
0-50,came,0.13018891098082383
0-50,caused,0.13018891098082383
0-50,continent,0.13018891098082383
0-50,debtor,0.13018891098082383
0-50,devised,0.13018891098082383
0-50,died,0.13018891098082383
0-50,diseases,0.13018891098082383
0-50,especially,0.13018891098082383
0-50,establishment,0.13018891098082383
0-50,evans,1.0
0-50,ford,0.39056673294247146
0-50,freemason,0.13018891098082383
0-50,grandfather,0.26037782196164766
0-50,great,0.13018891098082383
0-50,john,0.13018891098082383
0-50,little,0.13018891098082383
0-50,maddox,0.26037782196164766
0-50,maine,0.7071067811865476
0-50,medical,0.13018891098082383
0-50,medicine,0.13018891098082383
0-50,much,0.13018891098082383
0-50,novelist,0.13018891098082383
0-50,noyes,0.7071067811865476
0-50,physician,0.13018891098082383
0-50,popular,0.13018891098082383
0-50,prison,0.13018891098082383
0-50,quite,0.13018891098082383
0-50,scottish,0.26037782196164766
0-50,skeel,0.7071067811865476
0-50,stimulation,0.13018891098082383
0-50,system,0.13018891098082383
0-50,theory,0.13018891098082383
0-50,unfortunately,0.13018891098082383
0-50,webster,0.7071067811865476
850-900,estc,1.0
1450-1500,advocatorum,0.2845911620537757
1450-1500,alexander,0.08874633470378115
1450-1500,alexandro,0.08874633470378115
1450-1500,anima,0.3129434019393691
1450-1500,aristotel,0.3129434019393691
1450-1500,atq,0.08874633470378115
1450-1500,author,0.38127346283088365
1450-1500,back,0.5691823241075514
1450-1500,bands,0.2498888568397683
1450-1500,bibliotheca,0.2845911620537757
1450-1500,blind,0.28069893975438925
1450-1500,board,0.22935085491576723
1450-1500,boards,0.6309193365624253
1450-1500,border,0.24178757485913088
1450-1500,business,0.31340277503058567
1450-1500,cale,0.08874633470378115
1450-1500,calendas,0.08874633470378115
1450-1500,calf,0.332041033392719
1450-1500,canonici,0.08874633470378115
1450-1500,century,0.38127346283088365
1450-1500,cetera,0.08874633470378115
1450-1500,clarissimo,0.08874633470378115
1450-1500,clasps,0.3223187678931624
1450-1500,co,0.08874633470378115
1450-1500,codex,0.08874633470378115
1450-1500,commendato,0.08874633470378115
1450-1500,compartments,0.2498888568397683
1450-1500,cordia,0.08874633470378115
1450-1500,corpus,0.08874633470378115
1450-1500,daran,0.08874633470378115
1450-1500,das,0.08874633470378115
1450-1500,date,0.2845911620537757
1450-1500,de,0.3129434019393691
1450-1500,decreti,0.1774926694075623
1450-1500,decretor,0.08874633470378115
1450-1500,deo,0.4485873015614205
1450-1500,des,0.08874633470378115
1450-1500,diaconus,0.08874633470378115
1450-1500,dicit,0.08874633470378115
1450-1500,directory,0.31340277503058567
1450-1500,discordantiu,0.08874633470378115
1450-1500,diuidue,0.08874633470378115
1450-1500,duce,0.08874633470378115
1450-1500,early,0.3223187678931624
1450-1500,edges,0.45870170983153447
1450-1500,endet,0.34956485836357293
1450-1500,endpapers,0.24178757485913088
1450-1500,erscheinungsvermerks,0.08874633470378115
1450-1500,et,0.08874633470378115
1450-1500,ex,0.1774926694075623
1450-1500,explicit,0.3129434019393691
1450-1500,fillet,0.2633571934271533
1450-1500,finis,0.39066288556088896
1450-1500,five,0.2498888568397683
1450-1500,flos,0.08874633470378115
1450-1500,flosculi,0.08874633470378115
1450-1500,flyleaf,0.2845911620537757
1450-1500,forming,0.2498888568397683
1450-1500,fragments,0.5
1450-1500,french,0.31340277503058567
1450-1500,front,0.2845911620537757
1450-1500,gallici,0.08874633470378115
1450-1500,gilt,0.628774243447005
1450-1500,got,0.5928337189675393
1450-1500,gratias,0.4485873015614205
1450-1500,gw,1.0
1450-1500,half,0.31340277503058567
