decade,word,tfidf
0-50,age,0.13018891098082383
0-50,artist,0.13018891098082383
0-50,ayer,1.0
0-50,brown,0.39056673294247146
0-50,brunonian,0.13018891098082383
0-50,call,0.13018891098082383
0-50,came,0.13018891098082383
0-50,caus,0.13018891098082383
0-50,contin,0.13018891098082383
0-50,debtor,0.13018891098082383
0-50,devis,0.13018891098082383
0-50,die,0.13018891098082383
0-50,diseas,0.13018891098082383
0-50,especi,0.13018891098082383
0-50,establish,0.13018891098082383
0-50,evan,1.0
0-50,ford,0.39056673294247146
0-50,freemason,0.13018891098082383
0-50,grandfath,0.26037782196164766
0-50,great,0.13018891098082383
0-50,john,0.13018891098082383
0-50,littl,0.13018891098082383
0-50,maddox,0.26037782196164766
0-50,main,0.7071067811865476
0-50,medic,0.13018891098082383
0-50,medicin,0.13018891098082383
0-50,much,0.13018891098082383
0-50,novelist,0.13018891098082383
0-50,noy,0.7071067811865476
0-50,physician,0.13018891098082383
0-50,popular,0.13018891098082383
0-50,prison,0.13018891098082383
0-50,quit,0.13018891098082383
0-50,scottish,0.26037782196164766
0-50,skeel,0.7071067811865476
0-50,stimul,0.13018891098082383
0-50,system,0.13018891098082383
0-50,theori,0.13018891098082383
0-50,unfortun,0.13018891098082383
0-50,webster,0.7071067811865476
850-900,estc,1.0
1450-1500,advocatorum,0.29225119007746075
1450-1500,alexand,0.08813811348760243
1450-1500,alexandro,0.08813811348760243
1450-1500,anima,0.3167123272760099
1450-1500,aristotel,0.3167123272760099
1450-1500,atq,0.08813811348760243
1450-1500,author,0.38553340371207195
1450-1500,back,0.5845023801549215
1450-1500,band,0.2530464902813161
1450-1500,bibliotheca,0.29225119007746075
1450-1500,blind,0.2843559718451864
1450-1500,board,0.5680126375602974
1450-1500,border,0.24464448167117492
1450-1500,busi,0.31962860262102877
1450-1500,cale,0.08813811348760243
1450-1500,calenda,0.08813811348760243
1450-1500,calf,0.33575090389322393
1450-1500,canonici,0.08813811348760243
1450-1500,centuri,0.38553340371207195
1450-1500,cetera,0.08813811348760243
1450-1500,clarissimo,0.08813811348760243
1450-1500,clasp,0.326518035901381
1450-1500,co,0.08813811348760243
1450-1500,codex,0.08813811348760243
1450-1500,commendato,0.08813811348760243
1450-1500,compart,0.2530464902813161
1450-1500,cordia,0.08813811348760243
1450-1500,corpu,0.08813811348760243
1450-1500,da,0.08813811348760243
1450-1500,daran,0.08813811348760243
1450-1500,date,0.29225119007746075
1450-1500,de,0.27581643803934086
1450-1500,decreti,0.17627622697520487
1450-1500,decretor,0.08813811348760243
1450-1500,deo,0.4485873015614205
1450-1500,diaconu,0.08813811348760243
1450-1500,dicit,0.08813811348760243
1450-1500,directori,0.31962860262102877
1450-1500,discordantiu,0.08813811348760243
1450-1500,diuidu,0.08813811348760243
1450-1500,duce,0.08813811348760243
1450-1500,earli,0.326518035901381
1450-1500,edg,0.46691652597422445
1450-1500,endet,0.34956485836357293
1450-1500,endpap,0.24464448167117492
1450-1500,erscheinungsvermerk,0.08813811348760243
1450-1500,et,0.08813811348760243
1450-1500,ex,0.17627622697520487
1450-1500,explicit,0.3167123272760099
1450-1500,fillet,0.2680736156193737
1450-1500,fini,0.39066288556088896
1450-1500,five,0.2530464902813161
1450-1500,flo,0.08813811348760243
1450-1500,flosculi,0.08813811348760243
1450-1500,flyleaf,0.29225119007746075
1450-1500,form,0.2530464902813161
1450-1500,fragment,0.5
1450-1500,french,0.31962860262102877
1450-1500,front,0.29225119007746075
1450-1500,gallici,0.08813811348760243
1450-1500,gilt,0.6362036964302205
1450-1500,got,0.5928337189675393
1450-1500,gratia,0.4485873015614205
1450-1500,gw,1.0
1450-1500,half,0.31962860262102877
1450-1500,huiu,0.39066288556088896
1450-1500,impensa,0.08813811348760243
