decade,word,tf,occurrences
0-50,schiferli,0.1428571428571428,[0]
0-50,rudolphu,0.1428571428571428,[0]
0-50,king,0.1428571428571428,[1]
0-50,unit,0.1428571428571428,[2]
0-50,stateaut,0.1428571428571428,[2]
0-50,webster,0.1428571428571428,[3]
0-50,kellogg,0.1428571428571428,[4]
1450-1500,lambertu,0.0166666666666666,[0]
1450-1500,de,0.0833333333333333,"[0, 2, 3, 12]"
1450-1500,mont,0.0166666666666666,[0]
1450-1500,domini,0.0166666666666666,[0]
1450-1500,jenson,0.0166666666666666,[1]
1450-1500,nicola,0.0166666666666666,[1]
1450-1500,approxim,0.0166666666666666,[1]
1450-1500,printer,0.0333333333333333,"[1, 15]"
1450-1500,beata,0.0166666666666666,[2]
1450-1500,maria,0.0166666666666666,[2]
1450-1500,virgini,0.0166666666666666,[2]
1450-1500,mari,0.0166666666666666,[2]
1450-1500,stella,0.0166666666666666,[2]
1450-1500,et,0.0166666666666666,[2]
1450-1500,augia,0.0166666666666666,[2]
1450-1500,major,0.0166666666666666,[2]
1450-1500,cistercian,0.0166666666666666,[2]
1450-1500,abbey,0.0166666666666666,[2]
1450-1500,wettingen,0.0166666666666666,[2]
1450-1500,switzerland,0.0166666666666666,[2]
1450-1500,former,0.0833333333333333,"[2, 3, 9, 10, 11]"
1450-1500,pari,0.0166666666666666,[3]
1450-1500,petru,0.0166666666666666,[5]
1450-1500,treciu,0.0166666666666666,[5]
1450-1500,hrsg,0.0166666666666666,[5]
1450-1500,signet,0.05,"[6, 9, 10]"
1450-1500,librari,0.0666666666666666,"[6, 8, 9, 10]"
1450-1500,great,0.05,"[6, 9, 10]"
1450-1500,britain,0.05,"[6, 9, 10]"
1450-1500,faculti,0.0166666666666666,[7]
1450-1500,advoc,0.0166666666666666,[7]
1450-1500,scotland,0.0166666666666666,[7]
1450-1500,edinburgh,0.0166666666666666,[8]
1450-1500,citi,0.0166666666666666,[8]
1450-1500,denholm,0.0166666666666666,[11]
1450-1500,jame,0.0166666666666666,[11]
1450-1500,stewart,0.0166666666666666,[11]
1450-1500,valescu,0.0166666666666666,[12]
1450-1500,taranta,0.0166666666666666,[12]
1450-1500,andrea,0.0166666666666666,[13]
1450-1500,barbatiu,0.0166666666666666,[13]
1450-1500,amerbach,0.0166666666666666,[15]
1500-1550,sylviu,0.0040816326530612,[0]
1500-1550,dominicu,0.0040816326530612,[0]
1500-1550,buchanano,0.0040816326530612,[1]
1500-1550,georgio,0.0040816326530612,[1]
1500-1550,scoto,0.0040816326530612,[1]
1500-1550,linck,0.0040816326530612,[2]
1500-1550,wenceslau,0.0040816326530612,[2]
1500-1550,luther,0.0285714285714285,"[3, 10, 34, 57, 77, 80, 95]"
1500-1550,salviati,0.0040816326530612,[4]
1500-1550,lionardo,0.0040816326530612,[4]
1500-1550,tasso,0.0040816326530612,[5]
1500-1550,bernardo,0.0040816326530612,[5]
1500-1550,lucian,0.0040816326530612,[6]
1500-1550,samosata,0.0040816326530612,[6]
1500-1550,cybeleiu,0.0040816326530612,[7]
1500-1550,valentinu,0.0040816326530612,[7]
1500-1550,scholl,0.0040816326530612,[8]
1500-1550,jacob,0.0040816326530612,[8]
1500-1550,bernardu,0.0040816326530612,[11]
1500-1550,de,0.0244897959183673,"[11, 53, 59, 66, 79, 83]"
1500-1550,lutzenburgo,0.0040816326530612,[11]
1500-1550,alesiu,0.0040816326530612,[12]
1500-1550,richer,0.0040816326530612,[13]
1500-1550,christoph,0.0040816326530612,[13]
1500-1550,roscou,0.0040816326530612,[14]
1500-1550,former,0.0326530612244898,"[14, 32, 33, 35, 40, 49, 58, 84]"
1500-1550,bonfini,0.0040816326530612,[15]
1500-1550,john,0.0163265306122449,"[16, 35, 56, 60]"
1500-1550,chrysostom,0.0040816326530612,[16]
1500-1550,saint,0.0081632653061224,"[16, 103]"
1500-1550,pauliii,0.0040816326530612,[17]
1500-1550,oppavianu,0.0040816326530612,[18]
1500-1550,franciscu,0.0081632653061224,"[18, 50]"
1500-1550,emericu,0.0040816326530612,[18]
1500-1550,hutten,0.0204081632653061,"[19, 20, 55, 72, 88]"
1500-1550,ulrich,0.0204081632653061,"[19, 20, 55, 72, 88]"
1500-1550,von,0.0285714285714285,"[19, 20, 52, 55, 63, 72, 88]"
1500-1550,bibliand,0.0040816326530612,[21]
1500-1550,theodor,0.0040816326530612,[21]
1500-1550,ringmann,0.0040816326530612,[23]
1500-1550,matthia,0.0040816326530612,[23]
1500-1550,hrsg,0.0204081632653061,"[23, 42, 70, 87, 97]"
1500-1550,murner,0.0040816326530612,[24]
1500-1550,thoma,0.0081632653061224,"[24, 40]"
1500-1550,dick,0.0081632653061224,"[25, 96]"
1500-1550,leopold,0.0081632653061224,"[25, 96]"
1500-1550,karl,0.0040816326530612,[26]
1500-1550,reich,0.0040816326530612,[26]
1500-1550,kaiser,0.0040816326530612,[26]
1500-1550,v,0.0081632653061224,"[26, 64]"
1500-1550,gessler,0.0040816326530612,[27]
1500-1550,johann,0.0204081632653061,"[27, 43, 79, 83, 90]"
1500-1550,geraldinu,0.0040816326530612,[28]
1500-1550,antoniu,0.0040816326530612,[28]
1500-1550,gariopontu,0.0040816326530612,[29]
1500-1550,monteux,0.0040816326530612,[30]
1500-1550,komment,0.0040816326530612,[30]
1500-1550,damiano,0.0040816326530612,[31]
1500-1550,da,0.0040816326530612,[31]
1500-1550,odenara,0.0040816326530612,[31]
1500-1550,hildebran,0.0040816326530612,[32]
1500-1550,institut,0.0040816326530612,[32]
1500-1550,balfour,0.0040816326530612,[33]
1500-1550,mcphail,0.0040816326530612,[35]
1500-1550,jacquinot,0.0040816326530612,[37]
1500-1550,dominiqu,0.0040816326530612,[37]
1500-1550,speckl,0.0040816326530612,[38]
1500-1550,veit,0.0081632653061224,"[38, 98]"
1500-1550,ill,0.0040816326530612,[38]
1500-1550,frontinu,0.0040816326530612,[39]
1500-1550,sextu,0.0040816326530612,[39]
1500-1550,juliu,0.0040816326530612,[39]
1500-1550,henryson,0.0040816326530612,[40]
1500-1550,melanchthon,0.0040816326530612,[41]
1500-1550,brunfel,0.0081632653061224,"[42, 93]"
1500-1550,otto,0.0081632653061224,"[42, 93]"
1500-1550,agricola,0.0040816326530612,[43]
1500-1550,thynn,0.0040816326530612,[44]
1500-1550,william,0.0040816326530612,[44]
1500-1550,vettori,0.0040816326530612,[45]
1500-1550,brulef,0.0040816326530612,[47]
1500-1550,etienn,0.0040816326530612,[47]
1500-1550,rabelai,0.0040816326530612,[48]
1500-1550,approxim,0.0204081632653061,"[48, 52, 53, 56, 60]"
1500-1550,royal,0.0040816326530612,[49]
1500-1550,high,0.0040816326530612,[49]
1500-1550,school,0.0040816326530612,[49]
1500-1550,edinburgh,0.0040816326530612,[49]
1500-1550,scotland,0.0040816326530612,[49]
1500-1550,asulanu,0.0040816326530612,[50]
1500-1550,paulusdiaconusd,0.0040816326530612,[51]
1500-1550,gesti,0.0040816326530612,[51]
1500-1550,romanorum,0.0040816326530612,[51]
1500-1550,ludolf,0.0040816326530612,[52]
1500-1550,sachsen,0.0040816326530612,[52]
1500-1550,pigafetta,0.0040816326530612,[53]
1500-1550,antonio,0.0122448979591836,"[53, 68, 71]"
1500-1550,et,0.0040816326530612,[53]
1500-1550,nauigat,0.0040816326530612,[53]
1500-1550,faict,0.0040816326530612,[53]
1500-1550,par,0.0040816326530612,[53]
1500-1550,le,0.0040816326530612,[53]
1500-1550,espaignolz,0.0040816326530612,[53]
1500-1550,es,0.0040816326530612,[53]
1500-1550,isl,0.0040816326530612,[53]
1500-1550,dun,0.0081632653061224,"[56, 60]"
1500-1550,scotu,0.0081632653061224,"[56, 60]"
1500-1550,baldelli,0.0040816326530612,[58]
1500-1550,francesco,0.0081632653061224,"[58, 65]"
1500-1550,activ,0.0040816326530612,[58]
1500-1550,centuri,0.0040816326530612,[58]
1500-1550,pelbartu,0.0040816326530612,[59]
1500-1550,themeswar,0.0040816326530612,[59]
1500-1550,stella,0.0040816326530612,[61]
1500-1550,erasmu,0.0040816326530612,[61]
1500-1550,andernacum,0.0040816326530612,[62]
1500-1550,guinterium,0.0040816326530612,[62]
1500-1550,ioannem,0.0040816326530612,[62]
1500-1550,landschad,0.0040816326530612,[63]
1500-1550,steinach,0.0040816326530612,[63]
1500-1550,han,0.0040816326530612,[63]
1500-1550,cathol,0.0081632653061224,"[64, 69]"
1500-1550,nichola,0.0040816326530612,[64]
1500-1550,pastorali,0.0040816326530612,[64]
1500-1550,officii,0.0040816326530612,[64]
1500-1550,rinucci,0.0040816326530612,[65]
1500-1550,joannesanglicusexposition,0.0040816326530612,[66]
1500-1550,super,0.0040816326530612,[66]
1500-1550,quaestion,0.0040816326530612,[66]
1500-1550,johanni,0.0040816326530612,[66]
1500-1550,scoti,0.0040816326530612,[66]
1500-1550,universalibu,0.0040816326530612,[66]
1500-1550,pirckheim,0.0040816326530612,[67]
1500-1550,siluestro,0.0040816326530612,[68]
1500-1550,cologn,0.0040816326530612,[69]
1500-1550,germani,0.0040816326530612,[69]
1500-1550,council,0.0040816326530612,[69]
1500-1550,frecht,0.0040816326530612,[70]
1500-1550,martin,0.0040816326530612,[70]
1500-1550,maioragiu,0.0040816326530612,[71]
1500-1550,marcu,0.0081632653061224,"[71, 74]"
1500-1550,schatzgey,0.0040816326530612,[73]
1500-1550,kaspar,0.0040816326530612,[73]
1500-1550,varro,0.0040816326530612,[74]
1500-1550,terentiu,0.0040816326530612,[74]
1500-1550,gesner,0.0081632653061224,"[75, 97]"
1500-1550,conrad,0.0081632653061224,"[75, 97]"
1500-1550,palingeniu,0.0040816326530612,[76]
1500-1550,marcellu,0.0040816326530612,[76]
1500-1550,fracastoro,0.0040816326530612,[78]
1500-1550,sacrobosco,0.0040816326530612,[79]
1500-1550,ficino,0.0040816326530612,[81]
1500-1550,ariosto,0.0040816326530612,[82]
1500-1550,lambsheim,0.0040816326530612,[83]
1500-1550,bothwel,0.0040816326530612,[84]
1500-1550,adam,0.0040816326530612,[84]
1500-1550,bishop,0.0040816326530612,[84]
1500-1550,bonhor,0.0040816326530612,[85]
1500-1550,honnor,0.0040816326530612,[85]
1500-1550,gengel,0.0040816326530612,[86]
1500-1550,detmar,0.0040816326530612,[86]
1500-1550,creutzig,0.0040816326530612,[87]
1500-1550,caspar,0.0040816326530612,[87]
1500-1550,mameranu,0.0040816326530612,[89]
1500-1550,nicolau,0.0040816326530612,[89]
1500-1550,zwick,0.0040816326530612,[90]
1500-1550,adressat,0.0040816326530612,[90]
1500-1550,rhegiu,0.0040816326530612,[91]
1500-1550,urbanu,0.0040816326530612,[91]
1500-1550,phavorinu,0.0040816326530612,[94]
1500-1550,guarinu,0.0040816326530612,[94]
1500-1550,amerbach,0.0040816326530612,[98]
1500-1550,mattioli,0.0040816326530612,[99]
1500-1550,pietro,0.0040816326530612,[99]
1500-1550,andrea,0.0040816326530612,[99]
1500-1550,czeler,0.0040816326530612,[100]
1500-1550,georg,0.0040816326530612,[100]
1500-1550,leroy,0.0040816326530612,[101]
1500-1550,loy,0.0040816326530612,[101]
1500-1550,jerom,0.0040816326530612,[103]
1550-1600,balduinu,0.0017889087656529,[0]
1550-1600,hieronymu,0.0107334525939177,"[0, 35, 111, 182, 213, 220]"
1550-1600,domu,0.0017889087656529,[1]
1550-1600,pariensi,0.0017889087656529,[1]
1550-1600,soc,0.0017889087656529,[1]
1550-1600,jesu,0.0017889087656529,[1]
1550-1600,former,0.0250447227191413,"[1, 2, 50, 51, 101, 114, 128, 154, 157, 173, 181, 190, 210, 255]"
1550-1600,jameson,0.0017889087656529,[2]
1550-1600,becon,0.0017889087656529,[3]
1550-1600,attribut,0.0035778175313059,"[3, 137]"
1550-1600,name,0.0053667262969588,"[3, 25, 137]"
1550-1600,herrey,0.0017889087656529,[4]
1550-1600,robert,0.0053667262969588,"[4, 44, 129]"
1550-1600,f,0.0017889087656529,[4]
1550-1600,lockeliu,0.0017889087656529,[5]
1550-1600,jacobu,0.0017889087656529,[5]
1550-1600,mon,0.0035778175313059,"[6, 172]"
1550-1600,sancti,0.0017889087656529,[6]
