author,creator,titles,dates,publishers,languages,subjects,descriptions,earliest_year,latest_year,Frequency,urls
Gamel Woolsey,"['Woolsey, Gamel,1895-1968.']",[[Twenty eight sonnets]],[1977.0],['North Walsham Warren House Press'],['eng'],['American poetry.'],[nan],1977.0,1977.0,1,['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT2XBv8FCetrbtAa0iPYwCIcFt-uRC4n7UTlhPqb70a94PEwxpps5U_5WKcZg&s']
Joshua Middleton,"['Middleton, Joshua,1647-1720.']",[[A tender and compassionate call to prophane swearers. And takers of the holy name of God in vain. By Joshua Middleton.]],[1708.0],"['London : printed and sold by J. Sowle,']",['eng'],[nan],['ESTC'],1708.0,1708.0,1,['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRKqyOiBXiOLa_XEgz_oZDHM65Kdd6JAkuYRUp41j9dDyTPohT-B5CwGjgo4g&s']
H. C. Bailey,"['Bailey, H. C.(Henry Christopher),1878-1961.', 'Bailey, H. C.(Henry Christopher),1878-1961.']","[[The gentleman adventurer., The pillar of fire.]]","[1914.0, 1918.0]","['London, ', 'London, ']","['eng', 'eng']","[nan, nan]","[nan, nan]",1914.0,1918.0,2,"['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQTCwNoM_foaVAtiIvG-UEUvRWyF8ZnLXxQ1DBNmNzNMl2sfoUEAG7No-3IUA&s', 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS7gvd7qOx6u7EgJpJCtXTtfbgFAezPUlx0nJzq85dqyPsyZDEkw4_qjzQPHg&s']"
Donald Maclean,"['Maclean, Donald,1869-1943.']",[[Duthil : past and present /]],[1910.0],"['Inverness : Northern Counties Newspaper and Print. and Pub. Co. ; Edinburgh : J. Thin,']",['eng'],['Parishes'],[nan],1910.0,1910.0,1,['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRnBY4NJ2D2C2SXujnpnLtU6OZDW7bX-UBZLO4ztt4h39rDuQ9rkOeIXLGzLnQ&s']
John Henry Newman,"['Newman, John Henry,1801-1890.', 'Newman, John Henry,1801-1890.']","[[The church of the fathers., The life of Apollonius Tyanaeus. With a comparison between the miracles of scripture and those elsewhere related, as regards their respective object, nature, and evidence. Reprinted from the original edition [in Edward Smedley\s ""Encyclopaedia Metropolitana"".]]]","[1868.0, 1860.0]","['London,', '[S.l.,']","['eng', 'eng']","[nan, nan]","[nan, nan]",1860.0,1868.0,2,"['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQXyRDMYyh8JXL8WyxUmUMvMhNFjsSkrpb_8dk9ZCbPwleQHsCmWJGq0lpdgg&s', 'https://www.uoduckstore.com/TDS%20Product%20Images/QuickStudy%20Book%20for%20Calculus_1.jpg?resizeid=3&resizeh=195&resizew=195']"
Jean Devanny,"['Devanny, Jean,1894-1962.', 'Devanny, Jean,1894-1962.']","[[The ghost wife., Lenore divine.]]","[1935.0, 1926.0]","['London, ', 'London, ']","['eng', 'eng']","[nan, nan]","[nan, nan]",1926.0,1935.0,2,"['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ27INUxJqI1PYstO_m28wmct_pmR5BZ-9AmxVxop__Jq7Akx4XQebqUggLCtw&s', 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTMVP95h3pQABxB511lhjYGFtZr6wuvWVYXwPD51TplVqTPIbND0JPwwP6sjY8&s']"
James Moore,"['Moore, James.', 'Moore, James,1929-', 'Moore, James,1819-1883.']","[[Jacques Lipchitz: sketches in bronze /, Gurdjieff : a biography /, James Moore 1819-1883 : a catalogue of the exhibition with an introduction and an appendix listing the remaining works by James Moore in the Ulster Museum collections : Ulster Museum, 15th August-24th September 1973 /]]","[1969.0, 1999.0, 1973.0]","['London Pall Mall P', 'Shaftesbury : Element,', 'Belfast : Ulster Museum,']","['eng', 'eng', 'eng']","['Lipchitz, Jacques, 1891-', 'Philosophers', 'Moore, James, 1819-1883.']","['bibl p30-32', 'Includes bibliographical references and index.', 'Includes bibliographical references and index.']",1969.0,1999.0,3,"['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT8eahO89ugp4Fc8a7lxYhqyF_2CC8cfRfonBN84adQSkhEbKEFSMfnwQP7Sw&s', 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQdJplKAilq5UrSYaDDeZA7ZKYKjEYX47CU8ZgPnyQin6U7u1rF9DfDNSFZNeE&s', 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRAqPVQp2xWEBXkxIs3TExTihHHTmkwXTxjoxGPfqSsH0gtQ2IkDvgDbvJVsjw&s']"
Thomas Wells Bray,"['Bray, Thomas Wells,1738-1808.']","[[The duty of living and dying to the Lord, considered, in a sermon, delivered at the funeral of the Rev. Amos Fowler, A.M. Pastor of the First Church in Guilford: who died February 10th, 1800, aet. 72 years, and in the 43d of his ministry. Now published, by the desire and at the expence of the bereaved congregation. By Thomas Wells Bray, A.M. Pastor of the Third Church in Guilford. [One line from I Corinthians]]]",[1800.0],"['Middletown [Conn.] : Printed by T. & J.B. Dunning,']",['eng'],[nan],"['Evans 37037; Trumbull, J.H. Connecticut, 390']",1800.0,1800.0,1,['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQdzdQ_sc4pOpZPEq910gW_YZmqozEkHgIkHtGDpJUASTKUJLgt0MPu7eet5g&s']
Pierre Corneille,"['Corneille, Pierre,1606-1684.']",[[Corneille. [Extracts from] Le Cid - Horace - Polyeucte - Rodogune - Nicomede. [In shorthand.]]],[1893.0],"['Paris,']",['fre'],[nan],[nan],1893.0,1893.0,1,['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTG9uiQ397MjFwkUGpQiw8tfhkjyIrcgnbSw3bnx5KzvWC-sYvVG32ZkaAamw&s']
Antoni Sonimski,"['Słonimski, Antoni,1895-1976.']",[[Dzieła /]],[1959.0],"['Warszawa,']",['pol'],[nan],[nan],1959.0,1959.0,1,['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRY3JTEG3nkgwU5bSu7cBg_q12weR122UQvpZKyQQoJ5-H1CMWKOn_tIZFd744&s']
David Dilks,"['Dilks, David,1938-']",[[Curzon in India [in 2vols]]],[1969.0],"['London Hart-Davis,']",['eng'],"['Curzon, George Nathaniel Curzon, Marquis of, 1859-1925.']",[nan],1969.0,1969.0,1,['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSoZCcuUZnglaG_RqsOLbCtba2Mkv9kJnLVgfRe-hQ-B_Auo8VyglPnfUn3g9I&s']
