decade,word,tf,occurrences
0-50,medicin,1.0,[0]
850-900,religion,0.5,[0]
850-900,polit,0.5,[0]
1450-1500,medicin,0.0666666666666666,[1]
1450-1500,arab,0.0666666666666666,[1]
1450-1500,medit,0.0666666666666666,[2]
1450-1500,canon,0.1333333333333333,"[6, 7]"
1450-1500,law,0.1333333333333333,"[6, 7]"
1450-1500,conduct,0.0666666666666666,[8]
1450-1500,life,0.0666666666666666,[8]
1450-1500,latin,0.0666666666666666,[9]
1450-1500,languag,0.0666666666666666,[9]
1450-1500,sacrament,0.0666666666666666,[10]
1450-1500,philosophi,0.0666666666666666,[11]
1450-1500,ancient,0.0666666666666666,[11]
1450-1500,human,0.0666666666666666,[15]
1500-1550,greek,0.0294117647058823,[0]
1500-1550,languag,0.088235294117647,"[0, 49, 53]"
1500-1550,rhetor,0.0294117647058823,[15]
1500-1550,ancient,0.0294117647058823,[15]
1500-1550,bibl,0.0588235294117647,"[16, 103]"
1500-1550,spice,0.0294117647058823,[17]
1500-1550,trade,0.0294117647058823,[17]
1500-1550,chess,0.0294117647058823,[31]
1500-1550,roman,0.0588235294117647,"[39, 51]"
1500-1550,law,0.0294117647058823,[39]
1500-1550,latin,0.0294117647058823,[49]
1500-1550,emperor,0.0294117647058823,[51]
1500-1550,jesu,0.0294117647058823,[52]
1500-1550,christ,0.0294117647058823,[52]
1500-1550,tupi,0.0294117647058823,[53]
1500-1550,sorrow,0.0294117647058823,[54]
1500-1550,bless,0.0294117647058823,[54]
1500-1550,virgin,0.0294117647058823,[54]
1500-1550,mari,0.0294117647058823,[54]
1500-1550,devot,0.0294117647058823,[54]
1500-1550,taxat,0.0294117647058823,[64]
1500-1550,aristotl,0.0294117647058823,[66]
1500-1550,head,0.0294117647058823,[67]
1500-1550,art,0.0294117647058823,[67]
1500-1550,cathol,0.0294117647058823,[69]
1500-1550,church,0.0294117647058823,[69]
1500-1550,vener,0.0294117647058823,[78]
1500-1550,diseas,0.0294117647058823,[78]
1500-1550,italian,0.0294117647058823,[102]
1500-1550,poetri,0.0294117647058823,[102]
1550-1600,porphyri,0.0106382978723404,[0]
1550-1600,approxim,0.0106382978723404,[0]
1550-1600,classic,0.0212765957446808,"[1, 227]"
1550-1600,literatur,0.0106382978723404,[1]
1550-1600,proverb,0.0106382978723404,[2]
1550-1600,lord,0.0106382978723404,[3]
1550-1600,supper,0.0106382978723404,[3]
1550-1600,save,0.0106382978723404,[6]
1550-1600,invest,0.0106382978723404,[6]
1550-1600,charl,0.0106382978723404,[12]
1550-1600,v,0.0106382978723404,[12]
1550-1600,holi,0.0106382978723404,[12]
1550-1600,roman,0.0638297872340425,"[12, 48, 125, 128, 136, 256]"
1550-1600,emperor,0.0106382978723404,[12]
1550-1600,inherit,0.0106382978723404,[48]
1550-1600,success,0.0106382978723404,[48]
1550-1600,law,0.0638297872340425,"[48, 125, 128, 210, 211, 256]"
1550-1600,religi,0.0319148936170212,"[49, 146, 172]"
1550-1600,disput,0.0106382978723404,[49]
1550-1600,latin,0.0212765957446808,"[50, 117]"
1550-1600,letter,0.0106382978723404,[50]
1550-1600,absinth,0.0106382978723404,[59]
1550-1600,postal,0.0106382978723404,[65]
1550-1600,servic,0.0106382978723404,[65]
1550-1600,pawnbrok,0.0106382978723404,[66]
1550-1600,edinburgh,0.0212765957446808,[115]
1550-1600,castl,0.0106382978723404,[115]
1550-1600,scotland,0.0106382978723404,[115]
1550-1600,poetri,0.0106382978723404,[117]
1550-1600,franciscan,0.0106382978723404,[123]
1550-1600,discoveri,0.0106382978723404,[126]
1550-1600,geographi,0.0106382978723404,[126]
1550-1600,bibl,0.0212765957446808,"[129, 171]"
1550-1600,immort,0.0106382978723404,[134]
1550-1600,medicin,0.0106382978723404,[136]
1550-1600,greek,0.0106382978723404,[136]
1550-1600,sermon,0.0106382978723404,[137]
1550-1600,english,0.0106382978723404,[137]
1550-1600,middl,0.0106382978723404,[137]
1550-1600,theolog,0.0106382978723404,[138]
1550-1600,indian,0.0106382978723404,[145]
1550-1600,monastic,0.0212765957446808,"[146, 172]"
1550-1600,order,0.0212765957446808,"[146, 172]"
1550-1600,incest,0.0106382978723404,[147]
1550-1600,salt,0.0106382978723404,[148]
1550-1600,industri,0.0106382978723404,[148]
1550-1600,trade,0.0106382978723404,[148]
1550-1600,duchi,0.0106382978723404,[149]
1550-1600,prison,0.0106382978723404,[151]
1550-1600,indulg,0.0106382978723404,[152]
1550-1600,hospital,0.0106382978723404,[153]
1550-1600,adulteri,0.0106382978723404,[155]
1550-1600,mari,0.0106382978723404,[157]
1550-1600,bless,0.0106382978723404,[157]
1550-1600,virgin,0.0106382978723404,[157]
1550-1600,saint,0.0106382978723404,[157]
1550-1600,william,0.0106382978723404,[162]
1550-1600,princ,0.0106382978723404,[162]
1550-1600,orang,0.0106382978723404,[162]
1550-1600,comedi,0.0106382978723404,[169]
1550-1600,justif,0.0106382978723404,[173]
1550-1600,justic,0.0106382978723404,[182]
1550-1600,administr,0.0106382978723404,[182]
1550-1600,hippocr,0.0106382978723404,[189]
1550-1600,gladiat,0.0106382978723404,[190]
1550-1600,church,0.0106382978723404,[192]
1550-1600,histori,0.0106382978723404,[192]
1550-1600,primogenitur,0.0106382978723404,[194]
1550-1600,canon,0.0106382978723404,[211]
1550-1600,calvin,0.0106382978723404,[212]
1550-1600,botani,0.0106382978723404,[214]
1550-1600,biographi,0.0106382978723404,[227]
1550-1600,civil,0.0106382978723404,[243]
1550-1600,procedur,0.0106382978723404,[243]
1550-1600,apologet,0.0106382978723404,[255]
1550-1600,firearm,0.0106382978723404,[257]
1600-1650,jena,0.0213270142180094,"[0, 137, 199, 265, 364, 375, 391, 409, 418]"
1600-1650,great,0.0047393364928909,"[1, 257]"
1600-1650,britain,0.0047393364928909,"[1, 257]"
1600-1650,cathol,0.0165876777251184,"[2, 43, 253, 374, 377, 379, 381]"
1600-1650,church,0.0426540284360189,"[2, 6, 7, 43, 190, 193, 230, 254, 259, 331, 332, 341, 371, 377, 379, 381, 430, 432]"
1600-1650,save,0.0236966824644549,"[3, 158, 181, 188, 194, 197, 286, 315, 368, 401]"
1600-1650,invest,0.0236966824644549,"[3, 158, 181, 188, 194, 197, 286, 315, 368, 401]"
1600-1650,theolog,0.0047393364928909,"[4, 263]"
1600-1650,doctrin,0.0047393364928909,"[4, 263]"
1600-1650,scotland,0.0118483412322274,"[6, 77, 190, 235, 259]"
1600-1650,build,0.0023696682464454,[7]
1600-1650,roman,0.0118483412322274,"[8, 44, 107, 407, 411]"
1600-1650,law,0.0355450236966824,"[8, 49, 76, 107, 142, 198, 202, 247, 261, 266, 267, 343, 407, 411, 428]"
1600-1650,soap,0.0023696682464454,[25]
1600-1650,trade,0.0071090047393364,"[25, 183, 365]"
1600-1650,fountain,0.0023696682464454,[26]
1600-1650,tax,0.0023696682464454,[27]
1600-1650,farm,0.0023696682464454,[27]
1600-1650,fairfax,0.0047393364928909,[29]
1600-1650,thoma,0.0071090047393364,"[29, 281, 285]"
1600-1650,baron,0.0023696682464454,[29]
1600-1650,essex,0.0023696682464454,[30]
1600-1650,robert,0.0023696682464454,[30]
1600-1650,devereux,0.0023696682464454,[30]
1600-1650,earl,0.0071090047393364,"[30, 281, 285]"
1600-1650,taxat,0.0094786729857819,"[31, 184, 217, 412]"
1600-1650,england,0.0521327014218009,"[32, 34, 42, 185, 193, 222, 226, 232, 238, 242, 269, 271, 329, 331, 337, 340, 341, 366, 373, 385, 402, 435]"
1600-1650,wale,0.0236966824644549,"[32, 185, 222, 226, 269, 329, 366, 373, 385, 402]"
1600-1650,parliament,0.0213270142180094,"[32, 185, 222, 226, 329, 366, 373, 385, 402]"
1600-1650,charl,0.0165876777251184,"[34, 232, 269, 271, 337, 340, 435]"
1600-1650,king,0.0213270142180094,"[34, 162, 232, 235, 238, 271, 337, 340, 435]"
1600-1650,trial,0.0023696682464454,[37]
1600-1650,treason,0.0023696682464454,[37]
1600-1650,polit,0.0047393364928909,"[38, 321]"
1600-1650,satir,0.0047393364928909,"[38, 376]"
1600-1650,english,0.0189573459715639,"[38, 133, 155, 187, 223, 326, 376, 389]"
1600-1650,prerog,0.0071090047393364,"[40, 243, 288]"
1600-1650,royal,0.0071090047393364,"[40, 243, 288]"
1600-1650,london,0.0094786729857819,"[42, 242, 331, 395]"
1600-1650,emperor,0.0023696682464454,[44]
1600-1650,prison,0.0023696682464454,[46]
1600-1650,war,0.0047393364928909,"[46, 191]"
1600-1650,puritan,0.0023696682464454,[48]
1600-1650,prescript,0.0023696682464454,[49]
1600-1650,bibl,0.0047393364928909,"[52, 227]"
1600-1650,sword,0.0023696682464454,[66]
1600-1650,philosophi,0.0023696682464454,[70]
1600-1650,grain,0.0023696682464454,[71]
1600-1650,latin,0.0023696682464454,[72]
1600-1650,languag,0.0047393364928909,"[72, 120]"
1600-1650,leipzig,0.0047393364928909,"[73, 278]"
1600-1650,basel,0.0023696682464454,[74]
1600-1650,armi,0.0023696682464454,[77]
1600-1650,sabbath,0.0023696682464454,[78]
1600-1650,presbyterian,0.0047393364928909,"[81, 327]"
1600-1650,infant,0.0023696682464454,[82]
1600-1650,baptism,0.0023696682464454,[82]
1600-1650,concept,0.0023696682464454,[86]
1600-1650,plead,0.0023696682464454,[100]
1600-1650,jesuit,0.0023696682464454,[101]
1600-1650,vane,0.0023696682464454,[102]
1600-1650,henri,0.0023696682464454,[102]
1600-1650,sir,0.0071090047393364,"[102, 207, 384]"
1600-1650,plagu,0.0047393364928909,"[104, 255]"
1600-1650,jurisdict,0.0023696682464454,[107]
1600-1650,trigonometri,0.0023696682464454,[118]
1600-1650,spanish,0.0023696682464454,[120]
1600-1650,antinomian,0.0023696682464454,[128]
1600-1650,incarn,0.0023696682464454,[131]
1600-1650,jesu,0.0023696682464454,[132]
1600-1650,christ,0.0023696682464454,[132]
1600-1650,sermon,0.0189573459715639,"[133, 155, 187, 223, 244, 326, 338, 389]"
1600-1650,gunpowd,0.0023696682464454,[135]
1600-1650,plot,0.0023696682464454,[135]
1600-1650,firearm,0.0023696682464454,[136]
